city,county,city_pop
Boulder City,Clark,15166
Caliente,Lincoln,1123
Carlin,Elko,2400
Carson City,Carson City,55439
Elko,Elko,18546
Ely,White Pine,4288
Fallon,Churchill,8522
Fernley,Lyon,19327
Henderson,Clark,260068
Las Vegas,Clark,603488
Lovelock,Pershing,1881
Mesquite,Clark,15423
North Las Vegas,Clark,219020
Reno,Washoe,227511
Sparks,Washoe,91195
Wells,Elko,1309
West Wendover,Elko,4472
Winnemucca,Humboldt,7489
Yerington,Lyon,3041
Alamo,Lincoln,1080
Amargosa Valley,Nye,1503
Arden,Clark,57342
Ash Springs,Lincoln,151
Austin,Lander,192
Baker,White Pine,68
Battle Mountain,Lander,3635
Beatty,Nye,1010
Beaverdam,Lincoln,44
Bennett Springs,Lincoln,132
Blue Diamond,Clark,290
Bunkerville,Clark,1303
Cal-Nev-Ari,Clark,244
Carter Springs,Douglas,553
Cherry Creek,White Pine,72
Cold Springs,Washoe,8544
Crescent Valley,Eureka,392
Crystal Bay,Washoe,305
Dayton,Lyon,8964
Denio,Humboldt,47
Double Spring,Douglas,158
Dry Valley,Lincoln,78
Duckwater,Nye,368
Dyer,Esmeralda,259
East Valley,Douglas,1474
Empire,Washoe,217
Enterprise,Clark,108481
Eureka,Eureka,610
Fallon Station,Churchill,705
Fish Springs,Douglas,648
Fort McDermitt,Humboldt,341
Gabbs,Nye,269
Gardnerville,Douglas,5656
Gardnerville Ranchos,Douglas,11312
Genoa,Douglas,939
Gerlach,Washoe,206
Glenbrook,Douglas,215
Golconda,Humboldt,214
Gold Hill,Storey,191
Golden Valley,Washoe,1556
Goldfield,Esmeralda,268
Goodsprings,Clark,229
Grass Valley,Pershing,1161
Hawthorne,Mineral,3269
Hiko,Lincoln,119
Humboldt River Ranch,Pershing,119
Imlay,Pershing,171
Incline Village,Washoe,8777
Indian Hills,Douglas,5627
Indian Springs,Clark,991
Jackpot,Elko,1195
Jarbidge,Elko,1017
Jean,Clark,0
Johnson Lane,Douglas,6490
Kingsbury,Douglas,2152
Kingston,Lander,113
Lakeridge,Douglas,371
Lamoille,Elko,105
Laughlin,Clark,7323
Lemmon Valley,Washoe,5040
Logan Creek,Douglas,26
Lund,White Pine,282
McDermitt,Humboldt,172
McGill,White Pine,1148
Mina,Mineral,155
Minden,Douglas,3001
Moapa Town,Clark,1025
Moapa Valley,Clark,6924
Mogul,Washoe,1290
Montello,Elko,84
Mount Charleston,Clark,357
Mount Wilson,Lincoln,33
Nellis AFB,Clark,3187
Nelson,Clark,37
Nixon,Washoe,374
Oasis,Elko,29
Orovada,Humboldt,155
Osino,Elko,709
Owyhee,Elko,953
Pahrump,Nye,36441
Panaca,Lincoln,963
Paradise,Clark,223167
Paradise Valley,Humboldt,109
Pioche,Lincoln,1002
Preston,White Pine,78
Primm,Clark,1132
Rachel,Lincoln,54
Round Hill Village,Douglas,759
Round Mountain,Nye,744
Ruhenstroth,Douglas,1293
Ruth,White Pine,440
Sandy Valley,Clark,2051
Schurz,Mineral,658
Searchlight,Clark,539
Silver Peak,Esmeralda,107
Silver Springs,Lyon,5296
Skyland,Douglas,376
Smith Valley,Lyon,1603
Spanish Springs,Washoe,15064
Spring Creek,Elko,12361
Spring Valley,Clark,178395
Stagecoach,Lyon,1874
Stateline,Douglas,842
Summerlin South,Clark,24085
Sunrise Manor,Clark,189372
Sun Valley,Washoe,19299
Sutcliffe,Washoe,253
Tonopah,Nye,2478
Topaz Lake,Douglas,157
Topaz Ranch Estates,Douglas,1501
Ursine,Lincoln,91
Valmy,Humboldt,37
Verdi,Washoe,1415
Virginia City,Storey,855
Wadsworth,Washoe,834
Walker Lake,Mineral,275
Washoe Valley,Washoe,3019
Wellington,Lyon,1103
Whitney,Clark,38585
Winchester,Clark,27978
Zephyr Cove,Douglas,565
